t,x,y,theta,v,omega,h,gamma1,gamma2
1.040000,0.602823,0.331087,0.988010,0.986996,-0.503901,0.596041,0.000000,0.000000
1.050000,0.608275,0.339314,0.982971,0.978250,-0.539517,0.587508,0.000000,0.000000
1.060000,0.613722,0.347440,0.977576,0.969613,-0.575845,0.578963,0.000000,0.000000
1.070000,0.619166,0.355464,0.971817,0.961113,-0.612897,0.570440,0.000000,0.000000
1.080000,0.624609,0.363385,0.965688,0.952780,-0.650682,0.561924,0.000000,0.000000
1.090000,0.630054,0.371204,0.959181,0.944644,-0.689202,0.553445,0.000000,0.000000
1.100000,0.635505,0.378919,0.952289,0.936738,-0.728459,0.544961,0.000000,0.000000
1.110000,0.640964,0.386531,0.945005,0.929093,-0.768444,0.536501,0.000000,0.000000
1.120000,0.646435,0.394040,0.937320,0.921742,-0.809147,0.528067,0.000000,0.000000
1.130000,0.651921,0.401447,0.929229,0.914717,-0.850547,0.519676,0.000000,0.000000
1.140000,0.657426,0.408752,0.920723,0.908053,-0.892618,0.511305,0.000000,0.000000
1.150000,0.662954,0.415956,0.911797,0.901782,-0.935325,0.502954,0.000000,0.000000
1.160000,0.668510,0.423060,0.902444,0.895939,-0.978626,0.494652,0.000000,0.000000
1.170000,0.674096,0.430064,0.892658,0.890556,-1.022468,0.486394,0.000000,0.000000
1.180000,0.679718,0.436970,0.882433,0.885668,-1.066790,0.478148,0.000000,0.000000
1.190000,0.685381,0.443780,0.871765,0.881307,-1.111520,0.469942,0.000000,0.000000
1.200000,0.691089,0.450495,0.860650,0.877505,-1.156578,0.461801,0.000000,0.000000
1.210000,0.696848,0.457115,0.849084,0.874292,-1.201875,0.453663,0.000000,0.000000
1.220000,0.702664,0.463643,0.837065,0.871698,-1.247310,0.445579,0.000000,0.000000
1.230000,0.708541,0.470081,0.824592,0.869751,-1.292775,0.437556,0.000000,0.000000
1.240000,0.714487,0.476429,0.811665,0.868478,-1.338155,0.429531,0.000000,0.000000
1.250000,0.720507,0.482689,0.798283,0.867901,-1.383326,0.421574,0.000000,0.000000
1.260000,0.726607,0.488862,0.784450,0.868044,-1.428159,0.413653,0.000000,0.000000
1.270000,0.732794,0.494950,0.770168,0.868925,-1.472521,0.405756,0.000000,0.000000
1.280000,0.739076,0.500954,0.755443,0.870562,-1.516275,0.397929,0.000000,0.000000
1.290000,0.745458,0.506875,0.740280,0.872966,-1.559283,0.390109,0.000000,0.000000
1.300000,0.751949,0.512712,0.724687,0.876150,-1.601408,0.382350,0.000000,0.000000
1.310000,0.758555,0.518467,0.708673,0.880120,-1.642515,0.374636,0.000000,0.000000
1.320000,0.765283,0.524140,0.692248,0.884881,-1.682472,0.366946,0.000000,0.000000
1.330000,0.772143,0.529731,0.675423,0.890433,-1.721155,0.359334,0.000000,0.000000
1.340000,0.779139,0.535238,0.658212,0.896775,-1.758444,0.351731,0.000000,0.000000
1.350000,0.786282,0.540661,0.640628,0.903901,-1.794230,0.344207,0.000000,0.000000
1.360000,0.793576,0.545998,0.622685,0.911803,-1.828414,0.336707,0.000000,0.000000
1.370000,0.801031,0.551248,0.604401,0.920470,-1.860907,0.329293,0.000000,0.000000
1.380000,0.808654,0.556408,0.585792,0.929887,-1.891631,0.321913,0.000000,0.000000
1.390000,0.816450,0.561475,0.566876,0.940038,-1.920522,0.314614,0.000000,0.000000
1.400000,0.824428,0.566447,0.547670,0.950904,-1.947526,0.307369,0.000000,0.000000
1.410000,0.832594,0.571319,0.528195,0.962464,-1.972603,0.300220,0.000000,0.000000
1.420000,0.840954,0.576087,0.508469,0.974695,-1.995725,0.293131,0.000000,0.000000
1.430000,0.849515,0.580747,0.488512,0.987573,-2.000000,0.286156,0.000000,0.000000
1.440000,0.858281,0.585294,0.468512,1.001071,-2.000000,0.279241,0.000000,0.000000
1.450000,0.867258,0.589725,0.448512,1.015164,-2.000000,0.272463,0.000000,0.000000
1.460000,0.876449,0.594035,0.428512,1.029826,-2.000000,0.265753,0.000000,0.000000
