t,x,y,theta,v,omega,h,gamma1,gamma2
9.600000,1.577468,0.400020,-2.096012,-0.000252,-0.029279,0.000000,0.001000,0.001000
9.700000,1.577481,0.400042,-2.098939,0.897022,-0.000339,0.000007,0.001000,0.001000
9.800000,1.532276,0.322563,-2.098973,0.066805,0.705344,0.003851,0.001000,0.001000
9.900000,1.529116,0.316679,-2.028439,0.443459,0.945575,0.006277,0.001000,0.001000
10.000000,1.511431,0.276030,-1.933881,1.258082,0.342349,0.022778,0.001000,0.001000
10.100000,1.468770,0.157682,-1.899646,1.347518,0.655820,0.049169,0.001000,0.001000
10.200000,1.429463,0.028816,-1.834064,1.427289,1.012510,0.097546,0.001000,0.001000
10.300000,1.399354,-0.110639,-1.732813,1.428642,1.119493,0.158605,0.001000,0.001000
10.400000,1.384241,-0.252627,-1.620864,1.452910,1.271507,0.214088,0.001000,0.001000
10.500000,1.386202,-0.397806,-1.493713,1.453692,1.350362,0.261178,0.001000,0.001000
10.600000,1.407133,-0.541549,-1.358677,1.441791,1.365211,0.290386,0.001000,0.001000
10.700000,1.446999,-0.679991,-1.222156,1.416344,1.314140,0.299118,0.001000,0.001000
10.800000,1.503979,-0.809547,-1.090742,1.373086,1.201070,0.289291,0.001000,0.001000
10.900000,1.574545,-0.927239,-0.970635,1.312005,1.047838,0.265254,0.001000,0.001000
11.000000,1.654176,-1.031435,-0.865851,1.239584,0.884073,0.232502,0.001000,0.001000
11.100000,1.738566,-1.122176,-0.777444,1.162851,0.729749,0.196232,0.001000,0.001000
11.200000,1.824345,-1.200651,-0.704469,1.086100,0.594901,0.160254,0.001000,0.001000
11.300000,1.909143,-1.268487,-0.644979,1.010526,0.487006,0.126505,0.001000,0.001000
11.400000,1.991343,-1.327248,-0.596278,0.926385,0.429239,0.095411,0.001000,0.001000
11.500000,2.069088,-1.377610,-0.553354,0.630543,0.526336,0.065872,0.001000,0.001000
11.600000,2.123579,-1.409321,-0.500721,0.484761,0.616826,0.046107,0.001000,0.001000
11.700000,2.166795,-1.431267,-0.439038,0.416729,0.644703,0.032996,0.001000,0.001000
11.800000,2.205060,-1.447753,-0.374568,0.379510,0.630331,0.023967,0.001000,0.001000
11.900000,2.240794,-1.460516,-0.311535,0.357237,0.591243,0.017623,0.001000,0.001000
12.000000,2.275102,-1.470455,-0.252411,0.343690,0.539792,0.013054,0.001000,0.001000
12.100000,2.308597,-1.478136,-0.198431,0.337428,0.482901,0.009726,0.001000,0.001000
12.200000,2.341826,-1.483986,-0.150141,0.339778,0.424246,0.007300,0.001000,0.001000
12.300000,2.375519,-1.488355,-0.107717,0.355460,0.364632,0.005548,0.001000,0.001000
12.400000,2.410921,-1.491531,-0.071253,0.396535,0.300923,0.004263,0.001000,0.001000
12.500000,2.450510,-1.493759,-0.041161,0.490817,0.219165,0.003308,0.001000,0.001000
12.600000,2.499568,-1.495241,-0.019245,0.650488,0.081378,0.002619,0.001000,0.001000
12.700000,2.564609,-1.496228,-0.011107,0.610708,0.076196,0.002073,0.001000,0.001000
12.800000,2.625678,-1.496673,-0.003487,0.574833,0.069838,0.001860,0.001000,0.001000
12.900000,2.683162,-1.496673,0.003497,0.542536,0.062590,0.001924,0.001000,0.001000
13.000000,2.737414,-1.496314,0.009756,0.513497,0.055169,0.002220,0.001000,0.001000
13.100000,2.788760,-1.495671,0.015272,0.487406,0.048551,0.002717,0.001000,0.001000
13.200000,2.837493,-1.494808,0.020127,0.463970,0.043852,0.003390,0.001000,0.001000
13.300000,2.883878,-1.493773,0.024513,0.442918,0.042173,0.004223,0.001000,0.001000
13.400000,2.928154,-1.492594,0.028730,0.424006,0.044568,0.005209,0.001000,0.001000
13.500000,2.970534,-1.491282,0.033187,0.407028,0.052014,0.006350,0.001000,0.001000
13.600000,3.011211,-1.489825,0.038388,0.391814,0.065227,0.007657,0.001000,0.001000
13.700000,3.050358,-1.488194,0.044911,0.378220,0.083066,0.009133,0.001000,0.001000
13.800000,3.088135,-1.486339,0.053218,0.366171,0.108211,0.010836,0.001000,0.001000
13.900000,3.124689,-1.484193,0.064039,0.355644,0.141548,0.012808,0.001000,0.001000
14.000000,3.160163,-1.481666,0.078194,0.346682,0.183654,0.015109,0.001000,0.001000
14.100000,3.194698,-1.478641,0.096559,0.339410,0.234874,0.017790,0.001000,0.001000
14.200000,3.228440,-1.474972,0.120046,0.334008,0.293917,0.020961,0.001000,0.001000
14.300000,3.261537,-1.470486,0.149438,0.330661,0.357564,0.024867,0.001000,0.001000
14.400000,3.294139,-1.464979,0.185195,0.329583,0.422570,0.029691,0.001000,0.001000
14.500000,3.326396,-1.458228,0.227452,0.330847,0.483518,0.035900,0.001000,0.001000
14.600000,3.358436,-1.449991,0.275803,0.334452,0.536130,0.043901,0.001000,0.001000
14.700000,3.390357,-1.440025,0.329416,0.340269,0.576906,0.054131,0.001000,0.001000
14.800000,3.422219,-1.428095,0.387107,0.348054,0.603751,0.066997,0.001000,0.001000
14.900000,3.454033,-1.413991,0.447482,0.357497,0.616167,0.082823,0.001000,0.001000
15.000000,3.485766,-1.397540,0.509099,0.368267,0.615043,0.101782,0.001000,0.001000
15.100000,3.517351,-1.378614,0.570603,0.380041,0.602108,0.123882,0.001000,0.001000
15.200000,3.548697,-1.357136,0.630814,0.392522,0.579565,0.148994,0.001000,0.001000
15.300000,3.579706,-1.333079,0.688770,0.405450,0.549696,0.176924,0.001000,0.001000
15.400000,3.610284,-1.306462,0.743740,0.418602,0.514630,0.207355,0.001000,0.001000
15.500000,3.640348,-1.277341,0.795203,0.431797,0.476288,0.239913,0.001000,0.001000
15.600000,3.669835,-1.245802,0.842832,0.444880,0.436252,0.274168,0.001000,0.001000
15.700000,3.698701,-1.211956,0.886457,0.457728,0.395818,0.309698,0.001000,0.001000
15.800000,3.726928,-1.175926,0.926039,0.470242,0.355989,0.346029,0.001000,0.001000
15.900000,3.754515,-1.137847,0.961637,0.482333,0.317500,0.382758,0.001000,0.001000
16.000000,3.781480,-1.097858,0.993387,0.493929,0.280886,0.419456,0.001000,0.001000
16.100000,3.807857,-1.056100,1.021476,0.504971,0.246498,0.455744,0.001000,0.001000
16.200000,3.833688,-1.012711,1.046126,0.515407,0.214546,0.491305,0.001000,0.001000
16.300000,3.859026,-0.967830,1.067580,0.525192,0.185132,0.525842,0.001000,0.001000
16.400000,3.883926,-0.921589,1.086094,0.534291,0.158273,0.559096,0.001000,0.001000
16.500000,3.908445,-0.874119,1.101921,0.542673,0.133924,0.590866,0.001000,0.001000
