t,x,y,theta,v,omega,h,gamma1,gamma2
22.000000,4.694056,0.619601,0.379752,0.169928,-0.374567,0.274911,1.293910,0.001000
22.100000,4.709952,0.625603,0.342296,0.204971,-0.386507,0.265962,1.334000,0.001000
22.200000,4.729388,0.632108,0.303645,0.206665,-0.403872,0.256110,1.424203,0.001000
22.300000,4.749229,0.637888,0.263258,0.247788,-0.413797,0.247250,1.524429,0.001000
22.400000,4.773280,0.643839,0.221878,0.287244,-0.426616,0.237901,1.674767,0.001000
22.500000,4.801427,0.649561,0.179216,0.346505,-0.437956,0.228691,1.895263,0.001000
22.600000,4.835647,0.654989,0.135421,0.358171,-0.460575,0.219533,2.316211,0.001000
22.700000,4.871235,0.659006,0.089363,0.802637,-0.377632,0.212416,0.131293,1.103481
22.800000,4.951294,0.664658,0.051600,0.750422,-0.427672,0.199782,0.361812,0.953143
22.900000,5.026297,0.666925,0.008833,0.705294,-0.464324,0.191683,0.612376,0.001000
23.000000,5.096813,0.665910,-0.037599,0.666324,-0.491714,0.187826,0.642444,0.001000
23.100000,5.163309,0.661770,-0.086771,0.632897,-0.513549,0.187657,0.622398,0.001000
23.200000,5.226193,0.654669,-0.138126,0.604627,-0.532853,0.190410,0.602353,0.001000
23.300000,5.285829,0.644753,-0.191411,0.581277,-0.551131,0.195331,0.602353,0.001000
23.400000,5.342562,0.632128,-0.246524,0.562652,-0.568796,0.201635,0.552241,0.001000
23.500000,5.396706,0.616853,-0.303404,0.548536,-0.584972,0.208536,0.572286,0.001000
23.600000,5.448545,0.598943,-0.361901,0.538634,-0.598172,0.215312,0.542218,0.001000
23.700000,5.498319,0.578378,-0.421718,0.532560,-0.606731,0.221149,0.552241,0.001000
23.800000,5.546219,0.555118,-0.482391,0.529835,-0.609439,0.225215,0.542218,0.001000
23.900000,5.592378,0.529125,-0.543335,0.529871,-0.605775,0.226623,0.532195,0.001000
24.000000,5.636877,0.500374,-0.603913,0.531966,-0.596543,0.224315,0.482083,0.001000
