t,x,y,theta,v,omega,h,gamma1,gamma2
1.090000,0.145132,-0.138324,1.164574,0.411413,0.227892,0.903659,0.229731,0.121525
1.100000,0.146753,-0.134543,1.166853,0.413032,0.219786,0.902864,0.230097,0.121622
1.110000,0.148372,-0.130743,1.169051,0.414626,0.211836,0.902057,0.230468,0.121720
1.120000,0.149990,-0.126925,1.171169,0.416195,0.204042,0.901200,0.230863,0.121825
1.130000,0.151605,-0.123090,1.173210,0.417739,0.196399,0.900309,0.231276,0.121933
1.140000,0.153219,-0.119237,1.175174,0.419259,0.188905,0.899397,0.231698,0.122045
1.150000,0.154831,-0.115366,1.177063,0.420754,0.181558,0.898434,0.232144,0.122162
1.160000,0.156442,-0.111479,1.178878,0.422225,0.174355,0.897462,0.232596,0.122281
1.170000,0.158051,-0.107576,1.180622,0.423671,0.167294,0.896448,0.233068,0.122405
1.180000,0.159659,-0.103656,1.182295,0.425094,0.160373,0.895406,0.233555,0.122533
1.190000,0.161266,-0.099721,1.183899,0.426493,0.153589,0.894339,0.234054,0.122663
1.200000,0.162872,-0.095770,1.185435,0.427869,0.146939,0.893212,0.234582,0.122802
1.210000,0.164478,-0.091804,1.186904,0.429221,0.140422,0.892075,0.235116,0.122941
1.220000,0.166083,-0.087823,1.188308,0.430550,0.134034,0.890902,0.235668,0.123086
1.230000,0.167687,-0.083827,1.189649,0.431857,0.127775,0.889696,0.236237,0.123234
1.240000,0.169291,-0.079818,1.190926,0.433140,0.121641,0.888479,0.236813,0.123384
1.250000,0.170894,-0.075794,1.192143,0.434402,0.115631,0.887196,0.237421,0.123543
1.260000,0.172498,-0.071757,1.193299,0.435640,0.109742,0.885898,0.238038,0.123703
1.270000,0.174101,-0.067706,1.194396,0.436857,0.103972,0.884562,0.238675,0.123868
1.280000,0.175705,-0.063643,1.195436,0.438052,0.098318,0.883195,0.239328,0.124038
1.290000,0.177309,-0.059566,1.196419,0.439224,0.092780,0.881815,0.239990,0.124209
1.300000,0.178913,-0.055478,1.197347,0.440375,0.087354,0.880379,0.240680,0.124388
1.310000,0.180518,-0.051377,1.198221,0.441505,0.082038,0.878931,0.241378,0.124568
1.320000,0.182124,-0.047264,1.199041,0.442613,0.076831,0.877430,0.242104,0.124755
1.330000,0.183730,-0.043140,1.199809,0.443699,0.071731,0.875904,0.242844,0.124946
1.340000,0.185337,-0.039004,1.200527,0.444765,0.066735,0.874357,0.243597,0.125139
1.350000,0.186945,-0.034857,1.201194,0.445809,0.061842,0.872762,0.244375,0.125339
1.360000,0.188554,-0.030699,1.201812,0.446833,0.057050,0.871160,0.245159,0.125540
1.370000,0.190165,-0.026531,1.202383,0.447836,0.052357,0.869504,0.245973,0.125748
1.380000,0.191776,-0.022353,1.202907,0.448818,0.047760,0.867819,0.246803,0.125960
1.390000,0.193389,-0.018165,1.203384,0.449780,0.043259,0.866104,0.247651,0.126176
1.400000,0.195004,-0.013967,1.203817,0.450722,0.038851,0.864351,0.248521,0.126398
1.410000,0.196620,-0.009760,1.204205,0.451643,0.034534,0.862588,0.249398,0.126620
1.420000,0.198239,-0.005543,1.204551,0.452544,0.030307,0.860767,0.250308,0.126851
1.430000,0.199859,-0.001317,1.204854,0.453425,0.026167,0.858940,0.251225,0.127083
1.440000,0.201480,0.002917,1.205115,0.454287,0.022114,0.857055,0.252174,0.127323
1.450000,0.203104,0.007160,1.205336,0.455128,0.018146,0.855145,0.253139,0.127566
1.460000,0.204731,0.011410,1.205518,0.455950,0.014260,0.853212,0.254119,0.127813
1.470000,0.206359,0.015669,1.205660,0.456753,0.010456,0.851234,0.255126,0.128066
1.480000,0.207990,0.019936,1.205765,0.457536,0.006731,0.849252,0.256140,0.128320
1.490000,0.209623,0.024210,1.205832,0.458299,0.003083,0.847207,0.257190,0.128583
1.500000,0.211259,0.028491,1.205863,0.459043,-0.000488,0.845146,0.258252,0.128848
1.510000,0.212897,0.032779,1.205858,0.459768,-0.003985,0.843039,0.259342,0.129120
1.520000,0.214538,0.037074,1.205818,0.460474,-0.007409,0.840907,0.260451,0.129396
1.530000,0.216182,0.041375,1.205744,0.461161,-0.010761,0.838752,0.261576,0.129675
1.540000,0.217828,0.045683,1.205637,0.461829,-0.014044,0.836551,0.262729,0.129961
1.550000,0.219478,0.049997,1.205496,0.462479,-0.017258,0.834347,0.263890,0.130247
1.560000,0.221130,0.054316,1.205324,0.463109,-0.020405,0.832069,0.265095,0.130544
